Fecha,year,month,IPC_Nacional
2021-01-31 23:00:00,2021,1,97.008
2021-02-28 23:00:00,2021,2,97.949
2021-03-31 22:00:00,2021,3,99.105
2021-04-30 22:00:00,2021,4,99.572
2021-05-31 22:00:00,2021,5,100.046
2021-06-30 22:00:00,2021,6,99.292
2021-07-31 22:00:00,2021,7,99.743
2021-08-31 22:00:00,2021,8,100.575
2021-09-30 22:00:00,2021,9,102.425
2021-10-31 23:00:00,2021,10,102.738
2021-11-30 23:00:00,2021,11,103.965
2021-12-31 23:00:00,2021,12,103.567
2022-01-31 23:00:00,2022,1,104.403
2022-02-28 23:00:00,2022,2,107.566
2022-03-31 22:00:00,2022,3,107.375
2022-04-30 22:00:00,2022,4,108.262
2022-05-31 22:00:00,2022,5,110.267
2022-06-30 22:00:00,2022,6,109.986
2022-07-31 22:00:00,2022,7,110.265
2022-08-31 22:00:00,2022,8,109.498
2022-09-30 22:00:00,2022,9,109.866
2022-10-31 23:00:00,2022,10,109.734
2022-11-30 23:00:00,2022,11,109.899
2022-12-31 23:00:00,2022,12,109.668
2023-01-31 23:00:00,2023,1,110.703
2023-02-28 23:00:00,2023,2,111.111
2023-03-31 22:00:00,2023,3,111.773
2023-04-30 22:00:00,2023,4,111.719
2023-05-31 22:00:00,2023,5,112.354
2023-06-30 22:00:00,2023,6,112.544
2023-07-31 22:00:00,2023,7,113.149
2023-08-31 22:00:00,2023,8,113.348
2023-09-30 22:00:00,2023,9,113.676
2023-10-31 23:00:00,2023,10,113.28
2023-11-30 23:00:00,2023,11,113.308
2023-12-31 23:00:00,2023,12,113.404
